"Count","Category","Owner","FirstLogLine","Component","Message"
"7","Graphics / portrait source error","","1218","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_normal.dds'"
"7","Other error","Unresolved file","1219","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'"
"7","Other error","Unresolved file","1217","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'"
"7","Graphics / portrait source error","","1216","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_properties.dds'"
"3","Script / database error","","1507","jomini_eventmanager.cpp:119","'agot_cities.5000' does not have a valid namespace"
"2","Graphics / portrait source error","","1358","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01"""
"2","Graphics / portrait source error","","1359","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1353","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1354","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1352","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1360","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02"""
"2","Graphics / portrait source error","","1375","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmorMetal_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1374","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1376","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_ornateVest_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1378","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_platedVest_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1377","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_standardVest_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1362","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_03"""
"2","Graphics / portrait source error","","1361","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02"""
"2","Graphics / portrait source error","","1363","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_03"""
"2","Graphics / portrait source error","","1371","portraitaccessories.cpp:159","accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""female_clothes_secular_brightboar_swordsman"""
"2","Graphics / portrait source error","","1370","portraitaccessories.cpp:159","accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""male_clothes_secular_brightboar_swordsman"""
"2","Script / database error","","1783","jomini_effect.cpp:1145","Flag 'global' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","1782","jomini_effect.cpp:1161","Flag 'settlement_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1784","jomini_effect.cpp:1145","Flag 'DI_subtype_throne' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","1786","jomini_effect.cpp:1161","Variable 'swordman_armor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1785","jomini_effect.cpp:1145","Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","1778","jomini_effect.cpp:1161","Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1777","jomini_effect.cpp:1161","Flag 'unknown_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1779","jomini_effect.cpp:1161","Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1781","jomini_effect.cpp:1161","Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1780","jomini_effect.cpp:1161","Flag 'ruin_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1787","jomini_effect.cpp:1161","Variable 'captains_sword' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1793","jomini_effect.cpp:1145","Variable 'COWAGOT_is_loaded' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","1286","pdxassetutil.cpp:556","UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"2","Script / database error","","1794","jomini_effect.cpp:1145","Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
